	042	11128	11368	2009EL-2050	55989	78-Pyelo	APECO1	BEN2908	CFT073	E2348_69	E24377A	H10407	IHE3034	IMT5155	K12	LF82	NRG857c	O157H7_EDL933	O157H7_Sakai	RS218	SCU-397	UTI89	chi7122
'7	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
'8	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4200	4594	4627	4572	4565	4573	4630	4540	4518	4348	4332	4443	4550	4506	4210	4396	4384	4658	4776	4557	4470	4623	4322
'2	154	244	332	212	174	218	274	230	222	212	174	230	222	194	104	90	92	418	262	272	298	218	164
'3	12	105	132	111	93	78	69	75	108	72	87	102	105	21	30	6	9	96	81	84	165	60	33
'4	16	48	184	64	64	48	8	56	32	40	12	56	12	16	4	8	4	88	116	4	48	8	12
'5	0	125	65	50	20	40	30	20	25	20	10	10	35	5	5	5	5	70	40	5	60	0	5
'6	0	48	72	6	18	6	6	6	36	12	12	18	0	6	18	0	0	66	54	0	54	0	6
'7	7	14	70	14	7	14	7	0	14	0	7	21	0	0	14	0	0	49	35	0	21	0	0
'8	8	16	40	16	0	0	0	0	8	8	16	0	0	0	16	0	0	8	8	0	16	0	0
'9	0	45	45	9	18	0	0	0	9	9	9	0	0	0	0	0	0	45	54	0	27	0	0
'10	10	20	20	20	10	0	0	0	0	0	10	0	0	0	0	0	0	40	20	0	0	0	0
11-15	0	23	107	15	11	26	0	15	11	0	22	40	0	14	11	0	0	50	58	0	25	0	23
16-20	0	0	36	0	17	0	0	16	19	0	0	16	0	0	0	0	0	19	37	0	20	0	0
21-50	30	71	22	0	0	0	0	0	0	33	0	30	0	42	0	0	0	21	0	0	28	0	0
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	93.5	84.2	78.5	88.5	90.4	90.0	91.1	90.5	88.2	88.6	89.8	87.2	91.8	92.3	93.1	97.3	97.3	82.3	85.4	89.8	76.6	93.4	93.4
'2	3.4	4.5	5.6	4.1	3.4	4.3	5.4	4.6	4.3	4.3	3.6	4.5	4.5	4.0	2.3	2.0	2.0	7.4	4.7	5.4	5.1	4.4	3.5
'3	0.3	1.9	2.2	2.1	1.8	1.5	1.4	1.5	2.1	1.5	1.8	2.0	2.1	0.4	0.7	0.1	0.2	1.7	1.4	1.7	2.8	1.2	0.7
'4	0.4	0.9	3.1	1.2	1.3	0.9	0.2	1.1	0.6	0.8	0.2	1.1	0.2	0.3	0.1	0.2	0.1	1.6	2.1	0.1	0.8	0.2	0.3
'5	0.0	2.3	1.1	1.0	0.4	0.8	0.6	0.4	0.5	0.4	0.2	0.2	0.7	0.1	0.1	0.1	0.1	1.2	0.7	0.1	1.0	0.0	0.1
'6	0.0	0.9	1.2	0.1	0.4	0.1	0.1	0.1	0.7	0.2	0.2	0.4	0.0	0.1	0.4	0.0	0.0	1.2	1.0	0.0	0.9	0.0	0.1
'7	0.2	0.3	1.2	0.3	0.1	0.3	0.1	0.0	0.3	0.0	0.1	0.4	0.0	0.0	0.3	0.0	0.0	0.9	0.6	0.0	0.4	0.0	0.0
'8	0.2	0.3	0.7	0.3	0.0	0.0	0.0	0.0	0.2	0.2	0.3	0.0	0.0	0.0	0.4	0.0	0.0	0.1	0.1	0.0	0.3	0.0	0.0
'9	0.0	0.8	0.8	0.2	0.4	0.0	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.0	0.0	0.5	0.0	0.0
'10	0.2	0.4	0.3	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.4	0.0	0.0	0.0	0.0
11-15	0.0	0.4	1.8	0.3	0.2	0.5	0.0	0.3	0.2	0.0	0.5	0.8	0.0	0.3	0.2	0.0	0.0	0.9	1.0	0.0	0.4	0.0	0.5
16-20	0.0	0.0	0.6	0.0	0.3	0.0	0.0	0.3	0.4	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.0	0.3	0.0	0.0
21-50	0.7	1.3	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.6	0.0	0.9	0.0	0.0	0.0	0.4	0.0	0.0	0.5	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
